pdf_path,paper_folder,note_slug,is_main_pdf,pdf_role,source_kind,parse_issue
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/figures/raw_metaworld_curves/raw_metaworld_curves_page6-4.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,0,auxiliary,pdf+source,
papers/AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers/symlog_vs_no_symlog_appendix.pdf,AMAGO-2 Breaking the Multi-Task Barrier in Meta-Reinforcement Learning with Transformers,amago-2-breaking-the-multi-task-barrier-in-meta-reinforcement-learning-with-transformers,1,main,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/culture_fig_new.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,1,main,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/figures/culture_fig_new.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,0,auxiliary,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/figures/envs.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,0,auxiliary,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/figures/fig1.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,0,auxiliary,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/figures/ica_other.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,0,auxiliary,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/figures/in_context_accumulation_tsp_all.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,0,auxiliary,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/figures/in_context_accumulation_tsp_no_long.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,0,auxiliary,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/figures/tsp_cities.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,0,auxiliary,pdf+source,
papers/Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning/figures/tsp_in_weight.pdf,Artificial Generational Intelligence Cultural Accumulation in Reinforcement Learning,artificial-generational-intelligence-cultural-accumulation-in-reinforcement-learning,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig1.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig10.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig12.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig3.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig4.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig5.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig6.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig7.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/fig8.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/table_GPT-3.5_adverts_easy.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/table_GPT-3.5_adverts_hard.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
