seed,agent,global_step,task_id,belief_top_task,belief_top_prob,belief_correct
0,explicit_state,245,1,1,0.9530096770772827,1
0,explicit_state,246,1,1,0.9606782843249175,1
0,explicit_state,247,1,1,0.9633168075927165,1
0,explicit_state,248,1,1,0.9642219142415619,1
0,explicit_state,249,1,1,0.9645320794890311,1
0,explicit_state,250,1,1,0.964638330764667,1
0,explicit_state,251,1,1,0.9646747241963874,1
0,explicit_state,252,1,1,0.6313789991624654,1
0,explicit_state,253,1,2,0.39807159521623137,0
0,explicit_state,254,1,0,0.569589725774843,0
0,explicit_state,255,1,0,0.806042920443371,0
0,explicit_state,256,1,1,0.3927241793672949,1
0,explicit_state,257,1,1,0.7053198598640547,1
0,explicit_state,258,1,1,0.8673121464816083,1
0,explicit_state,259,1,1,0.9303186278021625,1
0,explicit_state,260,1,1,0.5286156283803424,1
0,explicit_state,261,1,1,0.7853220640241414,1
0,explicit_state,262,1,1,0.8995035686401938,1
0,explicit_state,263,1,1,0.941921515095812,1
0,explicit_state,264,1,1,0.9568419707491946,1
0,explicit_state,265,1,1,0.9619983358199046,1
0,explicit_state,266,1,1,0.9637698049171184,1
0,explicit_state,267,1,1,0.9643771692872531,1
0,explicit_state,268,1,1,0.9645852665689815,1
0,explicit_state,269,1,1,0.9646565488045804,1
0,explicit_state,270,1,1,0.9646809640574422,1
0,explicit_state,271,1,1,0.9646893264231862,1
0,explicit_state,272,1,1,0.9646921905549001,1
0,explicit_state,273,1,1,0.9646931715241825,1
0,explicit_state,274,1,1,0.9646935075072179,1
0,explicit_state,275,1,1,0.6314461655390792,1
0,explicit_state,276,1,1,0.8351957737343724,1
0,explicit_state,277,1,1,0.9184775721909592,1
0,explicit_state,278,1,1,0.9486450098023396,1
0,explicit_state,279,1,1,0.9591712114463681,1
0,explicit_state,280,1,1,0.9627992056659755,1
0,explicit_state,281,1,1,0.9640444675801404,1
0,explicit_state,282,1,1,0.964471284196591,1
0,explicit_state,283,1,1,0.9646175060178974,1
0,explicit_state,284,1,1,0.9646675914318461,1
0,explicit_state,285,1,1,0.9646847462359234,1
0,explicit_state,286,1,1,0.9646906218307265,1
0,explicit_state,287,1,1,0.9646926342340695,1
0,explicit_state,288,1,1,0.9646933234847993,1
0,explicit_state,289,1,1,0.9646935595538758,1
0,explicit_state,290,1,1,0.6314463516704019,1
0,explicit_state,291,1,1,0.8351958580818019,1
0,explicit_state,292,1,1,0.9184776036586724,1
0,explicit_state,293,1,1,0.5005011468644749,1
0,explicit_state,294,1,1,0.7703329693757511,1
0,explicit_state,295,1,1,0.8936478618784903,1
0,explicit_state,296,1,1,0.9398296634269911,1
0,explicit_state,297,1,1,0.9561153600975425,1
0,explicit_state,298,1,1,0.9617482796634624,1
0,explicit_state,299,1,1,0.9636840206839556,1
0,explicit_state,300,1,1,0.9643477717139997,1
0,explicit_state,301,1,1,0.6302121748753342,1
0,explicit_state,302,1,1,0.8346361635105624,1
0,explicit_state,303,1,1,0.9182687528918148,1
0,explicit_state,304,1,1,0.5000316167972205,1
0,explicit_state,305,1,1,0.7700767819321234,1
0,explicit_state,306,1,1,0.8935471216253603,1
0,explicit_state,307,1,1,0.9397936044971492,1
0,explicit_state,308,1,1,0.956102826856857,1
0,explicit_state,309,1,1,0.9617439655330443,1
0,explicit_state,310,1,1,0.9636825405697659,1
0,explicit_state,311,1,1,0.9643472644778734,1
0,explicit_state,312,1,1,0.9645750221871673,1
0,explicit_state,313,1,1,0.964653039865081,1
0,explicit_state,314,1,1,0.9646797622156318,1
0,explicit_state,315,1,1,0.9646889147881488,1
0,explicit_state,316,1,1,0.9646920495691672,1
0,explicit_state,317,1,1,0.9646931232364017,1
0,explicit_state,318,1,1,0.9646934909686055,1
0,explicit_state,319,1,1,0.6314461063930603,1
0,explicit_state,320,1,1,0.835195746931708,1
0,explicit_state,321,1,1,0.9184775621916195,1
0,explicit_state,322,1,1,0.9486450062805619,1
0,explicit_state,323,1,1,0.9591712102287597,1
0,explicit_state,324,1,1,0.9627992052476062,1
0,explicit_state,325,1,1,0.9640444674366916,1
0,explicit_state,326,1,1,0.9644712841474413,1
